"","id","area","perims","shape","cumarea","ptot","parea","c_area","corepercent","edgepercent","ncores"
"0","1",4269.36330189107,183791.568398506,7.93485683705133,4269.36330189107,72.7769086700573,95.9780339101004,3742.54549282798,87.6605064546803,12.3394935453197,69
"1","80",174.584558548391,10322.8788272611,2.20390557221621,4443.94786043946,2.97602325551696,3.92477320286032,147.278086505069,84.3591711258054,15.6408288741946,5
"2","121",4.32340326453233,1143.46092821111,1.55132761852023,4448.271263704,0.073698090857559,0.097192887039275,1.73076552537378,40.0324794953171,59.9675205046829,1
